task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	8a/12617b	201709	calling_pipeline:medakaInference_consensus (53)	COMPLETED	0	2026-06-04 12:05:57.101	6.1s	4.3s	105.9%	476.6 MB	1.2 GB	38.9 MB	2 MB
90	7a/f025aa	205002	calling_pipeline:medakaInference_consensus (55)	COMPLETED	0	2026-06-04 12:06:00.489	4s	3.3s	104.2%	476.4 MB	1.2 GB	38.9 MB	2 MB
93	32/7c9405	206000	calling_pipeline:medakaInference_consensus (58)	COMPLETED	0	2026-06-04 12:06:01.447	4.8s	2.5s	101.6%	361.3 MB	1.1 GB	38.8 MB	1.7 MB
94	c7/bbb1e6	206406	calling_pipeline:medakaInference_consensus (59)	COMPLETED	0	2026-06-04 12:06:01.829	4.9s	2.8s	102.2%	360.6 MB	1.1 GB	38.9 MB	1.7 MB
91	a1/847643	205894	calling_pipeline:medakaInference_consensus (56)	COMPLETED	0	2026-06-04 12:06:01.283	5.8s	3.1s	103.1%	378.8 MB	1.1 GB	38.8 MB	1.7 MB
95	57/31b84a	206139	calling_pipeline:medakaInference_consensus (60)	COMPLETED	0	2026-06-04 12:06:01.630	5.8s	3.2s	102.5%	397.7 MB	1.1 GB	38.9 MB	1.7 MB
98	79/9ac5c2	207011	calling_pipeline:medakaInference_consensus (63)	COMPLETED	0	2026-06-04 12:06:02.541	5.1s	3.2s	101.3%	393.7 MB	1.1 GB	38.8 MB	1.7 MB
101	1a/7a7fb5	207251	calling_pipeline:medakaInference_consensus (66)	COMPLETED	0	2026-06-04 12:06:02.842	5s	3.2s	100.4%	380.6 MB	1.1 GB	38.8 MB	1.7 MB
105	d8/dba55d	207548	calling_pipeline:medakaInference_consensus (70)	COMPLETED	0	2026-06-04 12:06:03.254	5s	2.9s	99.9%	343.7 MB	1.1 GB	38.9 MB	1.7 MB
100	1b/5cffa1	207301	calling_pipeline:medakaInference_consensus (65)	COMPLETED	0	2026-06-04 12:06:02.960	5.4s	3.6s	100.0%	386 MB	1.1 GB	38.9 MB	1.7 MB
96	58/7d59e5	206726	calling_pipeline:medakaInference_consensus (61)	COMPLETED	0	2026-06-04 12:06:02.127	6.4s	3.9s	108.6%	519.4 MB	1.2 GB	38.9 MB	2.2 MB
97	d4/260bc4	206885	calling_pipeline:medakaInference_consensus (62)	COMPLETED	0	2026-06-04 12:06:02.324	6.2s	3.9s	107.8%	518.7 MB	1.2 GB	39.1 MB	2.2 MB
102	5b/a4ea79	207378	calling_pipeline:medakaInference_consensus (67)	COMPLETED	0	2026-06-04 12:06:03.049	5.6s	3.8s	106.7%	457.7 MB	1.2 GB	38.9 MB	2 MB
99	c6/d1ad72	207083	calling_pipeline:medakaInference_consensus (64)	COMPLETED	0	2026-06-04 12:06:02.665	6.1s	3.8s	105.3%	459.4 MB	1.2 GB	38.9 MB	2 MB
103	b8/bf8041	207461	calling_pipeline:medakaInference_consensus (68)	COMPLETED	0	2026-06-04 12:06:03.144	5.8s	3.9s	106.6%	437.5 MB	1.1 GB	38.9 MB	2 MB
106	0e/70c93a	209248	calling_pipeline:medakaInference_consensus (71)	COMPLETED	0	2026-06-04 12:06:04.527	4.5s	3.4s	106.5%	457.9 MB	1.2 GB	38.9 MB	2 MB
107	84/e26e57	211670	calling_pipeline:medakaInference_consensus (72)	COMPLETED	0	2026-06-04 12:06:07.134	5.4s	2.6s	101.2%	364.9 MB	1.1 GB	38.8 MB	1.7 MB
111	ba/b141ee	212205	calling_pipeline:medakaInference_consensus (76)	COMPLETED	0	2026-06-04 12:06:07.885	5s	2.5s	101.8%	364.4 MB	1.1 GB	38.8 MB	1.7 MB
104	1c/430b90	210729	calling_pipeline:medakaInference_consensus (69)	COMPLETED	0	2026-06-04 12:06:06.227	6.9s	3.7s	110.3%	457.5 MB	1.2 GB	38.9 MB	2 MB
141	97/4d20de	212471	calling_pipeline:medakaInference_consensus (106)	COMPLETED	0	2026-06-04 12:06:08.353	5.1s	2.7s	103.2%	385.8 MB	1.1 GB	38.9 MB	1.7 MB
115	41/95310e	212774	calling_pipeline:medakaInference_consensus (80)	COMPLETED	0	2026-06-04 12:06:08.666	5s	2.4s	99.5%	372.9 MB	1.1 GB	38.9 MB	1.7 MB
109	fa/4de41b	211989	calling_pipeline:medakaInference_consensus (74)	COMPLETED	0	2026-06-04 12:06:07.636	6.1s	3s	103.4%	384.7 MB	1.1 GB	38.9 MB	1.8 MB
